Mod,likes,downloads,time,unique_dl,views,dl_dif
12499,1,15,3032,12,1719,3
19882,7,454,2620,388,3515,66
37317,10,269,1730,235,6364,34
31837,5,428,2010,352,3459,76
36201,11,366,1795,273,5901,93
37093,0,72,1744,56,2564,16
30375,4,257,2084,191,6692,66
33410,23,874,1942,617,11324,257
32798,2,54,1966,46,3232,8
11422,31,1636,3089,1263,12934,373
14212,16,316,2908,259,5442,57
23202,153,11466,2441,7837,29057,3629
37219,13,535,1736,448,12710,87
5720,79,2716,3408,2158,20199,558
26095,20,1235,2309,1009,13751,226
15063,221,11917,2850,8823,57822,3094
15046,25,704,2851,526,7870,178
17751,3,377,2718,287,5156,90
5254,35,1122,3432,837,9520,285
5268,5,205,3431,165,19313,40
25280,0,3170,2346,2372,29066,798
10730,25,797,3125,622,3877,175
39183,18,209,1606,174,4052,35
19841,20,1155,2622,876,14472,279
3409,5604,213274,3500,145715,638212,67559
26544,2,89,2288,76,1724,13
19271,5,287,2652,213,6764,74
33903,3,135,1923,113,4505,22
36427,8,425,1784,324,5845,101
7356,4,103,3331,89,4838,14
42961,18,412,1113,323,6145,89
24774,5,531,2368,423,10537,108
9539,1,63,3185,52,3049,11
41913,45,1305,1333,1020,22320,285
37212,7,194,1737,149,4225,45
3018,2,106,3507,66,3899,40
3071,27,494,3506,413,10846,81
3458,36,1117,3499,784,19544,333
44805,28,317,665,225,3722,92
38663,3,76,1638,71,4892,5
2755,119,4182,3512,3290,35310,892
3429,368,24440,3500,18776,90690,5664
34702,42,1071,1890,771,7422,300
15884,5,338,2813,277,5065,61
22805,12,352,2461,271,3468,81
15552,5,514,2827,352,14674,162
25278,4,682,2346,546,5435,136
30470,4,218,2079,169,4955,49
3030,14,336,3507,265,3476,71
33721,1,65,1930,48,4321,17
35671,285,7164,1832,5345,54981,1819
39082,0,83,1612,69,2696,14
9954,61,2059,3165,1566,26756,493
20900,24,859,2563,598,4076,261
28844,16,259,2162,211,3722,48
43272,6,175,1022,105,3072,70
25853,5,460,2320,346,7516,114
25956,3,350,2315,300,9495,50
23991,4,120,2403,96,3139,24
20540,11,358,2586,263,2034,95
4152,85,5321,3481,3653,78339,1668
45267,4,70,507,39,1823,31
15450,9,375,2832,312,5967,63
44162,323,10360,793,8456,45467,1904
40132,67,655,1548,463,5001,192
41559,63,1470,1395,1061,23020,409
13024,6,119,3002,92,4325,27
13560,1,49,2956,40,3208,9
24837,20,371,2365,310,5633,61
44875,4,116,645,102,5291,14
25400,28,1895,2341,1520,19288,375
36319,84,6800,1789,3908,35806,2892
37546,58,1898,1715,1546,19748,352
33845,30,691,1925,589,14499,102
19088,221,13446,2660,10239,107243,3207
12043,0,140,3058,115,3810,25
8856,76,4701,3227,3779,38853,922
4604,4,283,3464,201,10067,82
6360,31,1018,3381,745,23755,273
16720,20,739,2772,546,7962,193
8378,32,1676,3256,1310,21526,366
17718,68,3758,2720,2874,16601,884
1293,8,256,3739,208,6726,48
3894,5,128,3490,99,9184,29
10190,10,174,3154,130,8408,44
6089,8,241,3392,174,5938,67
28992,352,13779,2155,8260,75047,5519
44712,7,95,694,86,2702,9
15743,16,678,2817,560,8476,118
7740,9,276,3309,192,4331,84
32657,45,1612,1972,1175,23604,437
43150,35,825,1057,664,26907,161
4802,237,7768,3457,6077,31321,1691
34320,260,11542,1910,8089,71903,3453
41193,38,1095,1449,903,19120,192
14545,34,537,2883,412,10564,125
36651,4,187,1771,146,7179,41
20855,2,150,2568,104,7195,46
23059,19,432,2448,334,4325,98
15825,2,183,2814,157,3322,26
36085,36,918,1801,724,10266,194
37537,5,168,1716,139,4141,29
18586,29,770,2681,555,9517,215
4588,2,64,3465,60,2007,4
5524,72,3211,3419,2580,32300,631
10052,22,386,3160,306,8456,80
6547,3,75,3373,63,5290,12
16046,32,1004,2804,779,14097,225
39385,70,1703,1593,1341,13692,362
