Mod,likes,downloads,time,unique_dl,views
35794,0,17,1800,15,1653
7710,4,137,3288,105,1695
36419,10,747,1761,547,10320
28959,29,1010,2134,653,11213
19392,166,4969,2623,3958,28855
18879,10,395,2645,294,2930
21747,3,869,2492,631,17005
26644,171,14979,2261,10945,85056
37146,4,106,1718,92,4668
14755,9,741,2845,569,7607
8726,1,62,3211,50,1538
18541,17,601,2660,463,13077
46126,27,342,170,248,5490
45830,21,181,292,158,4387
28798,90,4059,2142,2831,30068
42228,3,101,1250,78,4052
30768,27,673,2040,492,7661
12887,10,284,2988,231,6788
18144,0,95,2677,82,2794
22887,14,1809,2433,1357,53022
39593,19,517,1558,391,8751
14084,21,1244,2891,968,16355
45429,1,8,441,5,1166
46357,1,32,85,21,778
22294,11,261,2462,222,4363
8345,3,64,3236,46,4310
27356,14,573,2226,445,8127
2639,10,262,3491,218,4107
17257,15,1211,2717,847,13207
30039,4,108,2080,86,2958
14946,3,174,2834,111,5259
33240,8,540,1925,454,9182
34831,22,447,1859,356,8398
27799,14,584,2198,478,3858
1785,6,296,3512,240,4744
8704,21,545,3213,440,10146
6329,63,1540,3359,1208,25612
19848,43,2255,2599,1745,52572
10601,36,1089,3110,856,13157
39934,6,179,1537,144,5219
8832,2,26,3205,24,1504
24008,13,597,2379,464,3856
23174,7,432,2420,322,8549
41550,389,11130,1373,7889,83894
9065,14,575,3192,471,6814
9482,13,686,3165,515,26648
13740,6,272,2919,208,10285
2534,3,49,3493,38,5570
28751,9,447,2144,385,4321
25297,30,916,2322,759,11024
8334,76,4180,3237,3366,35415
1534,7,278,3575,238,9930
2772,1,188,3489,151,4265
36505,0,31,1757,25,2379
21493,19,1653,2507,1361,12667
43217,16,457,1016,311,13777
5251,135,4196,3409,3315,34699
23500,1,12,2404,10,1327
16187,13,274,2775,205,6520
32630,1,79,1950,66,2736
11585,8,295,3057,238,6816
15514,527,29998,2806,21957,109197
40722,109,2451,1475,1725,23131
6982,185,13557,3329,5666,32838
29920,0,72,2085,57,4690
3149,48,1308,3482,1037,12962
33179,50,1770,1927,1434,24074
43616,7,201,886,187,7559
35393,309,6022,1831,4435,24945
38694,26,1365,1613,1026,14931
19606,3,76,2613,54,2157
38135,208,7035,1652,5070,59060
2629,7,211,3491,178,11714
3465,27,952,3476,754,15336
7670,5,249,3290,190,11782
30916,66,1173,2035,967,18704
18778,6,431,2649,335,19978
33364,24,926,1920,691,12295
14557,15,42664,2859,12077,6459
14987,3,232,2832,178,8985
7843,17,464,3277,375,9467
37602,1,52,1689,46,2451
4588,2,64,3442,60,2007
41648,0,26,1357,20,2422
41668,274,10375,1354,7057,83976
10245,21,459,3128,387,6405
42495,238,5608,1197,4067,39036
2103,881,25682,3500,18144,79350
12177,0,37,3028,19,1626
18868,0,70,2646,61,3183
14250,63,1821,2883,1382,18457
5367,249,11102,3403,8263,129187
23413,19,572,2408,458,4185
27787,6,494,2199,414,9798
31074,41,755,2028,607,9404
6103,2,154,3368,132,3436
8625,2,19,3218,14,1253
42208,201,3812,1255,2617,58812
30028,497,22216,2081,16374,126322
10541,7,157,3114,125,6334
6616,21,701,3347,393,12086
37894,420,17539,1668,12968,97419
38569,0,37,1621,28,4069
20984,40,661,2536,481,7249
20914,51,1836,2540,1386,19184
34592,7,228,1874,175,4353
18117,9,309,2678,250,8264
40063,459,9692,1528,7013,54767
