Mod,likes,downloads,time,unique_dl,views,dl_dif
104,71,680,2287,486,121556,194
3252,754,14329,1574,8987,97233,5342
3144,38,728,1616,479,10741,249
459,173,7835,2252,6301,74965,1534
1777,40,2003,1971,1376,44129,627
2085,462,9371,1840,5995,64255,3376
4200,400,10264,534,7486,41222,2778
601,75,4820,2229,3175,42660,1645
2042,264,7280,1865,4839,62154,2441
3947,141,1088,856,776,7433,312
2759,17,730,1763,486,20347,244
1730,429,9406,1978,5873,51117,3533
1734,4864,107406,1978,66756,531863,40650
1243,38,1622,2107,1234,31784,388
1472,813,18420,2051,13545,85651,4875
1615,937,20831,2012,13693,71018,7138
2928,152,7200,1710,3990,61937,3210
876,104,2026,2172,1377,26325,649
3695,199,1920,1093,1580,49292,340
784,23,738,2193,564,26577,174
